run_id,cell_id,method,dataset,seed,experience,phase,optional_plugins,plugin_state_bytes
effectiveness_v3_20260918T034951Z_79924874,dev/core50_nc/eval_batch/eval_core50_nc_b128/0,eval_core50_nc_b128,core50_nc,0,0,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T035026Z_9d0bd278,dev/core50_nc/eval_batch/eval_core50_nc_b32/0,eval_core50_nc_b32,core50_nc,0,0,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T035102Z_024561a7,dev/core50_nc/eval_batch/eval_core50_nc_b8/0,eval_core50_nc_b8,core50_nc,0,0,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T035221Z_7b303cae,dev/splitcifar100/eval_batch/eval_splitcifar100_b128/0,eval_splitcifar100_b128,splitcifar100,0,0,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T035236Z_4f0930ef,dev/splitcifar100/eval_batch/eval_splitcifar100_b32/0,eval_splitcifar100_b32,splitcifar100,0,0,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T035250Z_e0948625,dev/splitcifar100/eval_batch/eval_splitcifar100_b8/0,eval_splitcifar100_b8,splitcifar100,0,0,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,0,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,1,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,2,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,3,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,4,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,5,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,6,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,7,training,[],"{'ReplayPlugin': 0, 'PrefetchWrapPlugin': 0, 'EvaluationPlugin': 0, 'PeriodicEval': 0, 'Clock': 0}"
